Hour,Minute,Second,Millisecond,Time,Price
16,5,53,176,05:53.2,43
9,22,55,776,22:55.8,45.53
15,21,3,162,21:03.2,43.99
12,59,24,711,59:24.7,40.58
16,24,48,929,24:48.9,42.62
9,18,56,847,18:56.8,45.16
16,19,14,704,19:14.7,42.59
11,47,4,389,47:04.4,43
16,17,47,752,17:47.8,42.91
16,59,27,546,59:27.5,43.15
10,31,0,288,31:00.3,47.76
12,50,11,392,50:11.4,39.98
16,14,37,80,14:37.1,42.78
15,50,19,941,50:19.9,42.19
15,47,27,874,47:27.9,42.73
9,39,22,869,39:22.9,44.19
9,1,30,605,01:30.6,46.28
15,52,25,433,52:25.4,42.08
10,2,54,274,02:54.3,45.82
12,27,45,667,27:45.7,39.61
12,7,56,410,07:56.4,40.72
10,14,24,809,14:24.8,46.93
15,59,17,863,59:17.9,42.84
10,33,39,290,33:39.3,47.84
10,33,35,854,33:35.9,47.67
15,3,17,736,03:17.7,42.92
13,10,2,207,10:02.2,40.29
13,8,0,788,08:00.8,40.25
16,18,56,337,18:56.3,43.02
11,4,26,864,04:26.9,46.41
10,57,30,989,57:31.0,44.96
16,8,59,235,08:59.2,43.4
13,52,4,483,52:04.5,42.36
9,10,51,913,10:51.9,46.24
11,13,5,156,13:05.2,45.93
13,11,22,735,11:22.7,40.33
12,26,12,671,26:12.7,39.81
13,37,14,570,37:14.6,42.81
15,53,0,603,53:00.6,41.97
9,10,33,179,10:33.2,46.21
14,40,53,173,40:53.2,43.02
11,33,57,611,33:57.6,43.52
11,20,54,427,20:54.4,45.31
16,10,13,6,10:13.0,43.58
10,12,32,726,12:32.7,46.74
13,2,25,729,02:25.7,41.19
10,25,42,74,25:42.1,48.27
11,22,3,655,22:03.7,45.06
11,35,28,864,35:28.9,43.36
9,21,55,516,21:55.5,45.98
12,47,46,314,47:46.3,39.66
14,57,30,247,57:30.2,43.45
10,23,58,876,23:58.9,47.37
10,37,44,958,37:45.0,46.3
12,5,42,576,05:42.6,40.41
11,32,6,623,32:06.6,42.99
15,9,3,142,09:03.1,42.33
14,14,4,13,14:04.0,40.25
13,47,18,362,47:18.4,42.45
11,19,43,578,19:43.6,45.73
9,9,57,92,09:57.1,46.27
9,20,42,592,20:42.6,45.73
10,1,46,403,01:46.4,45.85
11,47,22,238,47:22.2,43.09
14,5,10,573,05:10.6,38.93
12,23,49,282,23:49.3,39.13
13,41,45,99,41:45.1,42.75
15,8,43,98,08:43.1,42.41
14,50,46,819,50:46.8,43.72
11,19,46,827,19:46.8,45.79
12,46,38,328,46:38.3,38.82
11,15,53,914,15:53.9,45.36
12,26,27,682,26:27.7,39.53
16,3,9,873,03:09.9,42.01
11,54,11,920,54:11.9,41.57
16,19,28,827,19:28.8,42.32
9,7,11,134,07:11.1,46.35
15,46,53,362,46:53.4,42.74
12,49,10,184,49:10.2,39.64
9,53,12,741,53:12.7,45.32
11,48,41,965,48:42.0,43.26
15,49,50,605,49:50.6,42.61
12,58,47,543,58:47.5,40.34
10,48,56,841,48:56.8,45.88
13,15,52,90,15:52.1,41.18
11,6,47,582,06:47.6,46.54
16,22,36,295,22:36.3,42.53
10,3,23,470,03:23.5,45.78
12,34,2,249,34:02.2,39.95
14,47,56,941,47:56.9,44.42
12,17,54,640,17:54.6,39.48
10,11,43,70,11:43.1,47.21
9,14,26,126,14:26.1,45.11
12,57,4,628,57:04.6,40.14
11,57,57,322,57:57.3,42.12
12,33,47,828,33:47.8,40.17
15,22,37,563,22:37.6,44.34
10,25,42,258,25:42.3,48.27
10,2,11,938,02:11.9,45.89
12,19,13,852,19:13.9,39.59
16,42,5,974,42:06.0,44.64
15,29,0,13,29:00.0,42.77
16,41,35,344,41:35.3,45.07
16,28,55,992,28:56.0,41.63
13,25,10,805,25:10.8,41.7
16,16,42,891,16:42.9,43.47
14,29,26,499,29:26.5,42.42
12,0,58,965,00:59.0,40.94
9,9,55,406,09:55.4,46.29
16,29,46,292,29:46.3,42.43
16,13,31,395,13:31.4,42.78
15,51,57,733,51:57.7,42.25
13,30,35,802,30:35.8,41.89
9,32,39,529,32:39.5,45.47
9,5,50,636,05:50.6,46.46
16,25,31,583,25:31.6,42.16
16,33,47,554,33:47.6,43.85
11,44,21,109,44:21.1,42.48
15,43,59,963,44:00.0,43.09
10,29,54,304,29:54.3,48.65
11,59,1,94,59:01.1,42
16,5,47,780,05:47.8,42.89
12,46,24,376,46:24.4,39.07
16,9,6,146,09:06.1,43.51
13,11,12,53,11:12.1,40.22
11,17,38,858,17:38.9,45.48
11,16,9,178,16:09.2,45.53
12,32,7,983,32:08.0,40.54
10,46,10,627,46:10.6,44.92
14,27,24,135,27:24.1,42.47
12,50,38,576,50:38.6,39.92
16,30,23,24,30:23.0,42.48
11,59,17,122,59:17.1,42.05
13,53,56,769,53:56.8,41.4
10,53,47,807,53:47.8,45.19
11,38,31,621,38:31.6,41.88
15,16,59,603,16:59.6,43.2
9,10,8,324,10:08.3,46.14
12,20,42,89,20:42.1,39.22
9,22,16,706,22:16.7,45.79
9,12,1,806,12:01.8,46.16
9,14,43,387,14:43.4,45.09
15,52,52,732,52:52.7,41.84
15,5,38,331,05:38.3,42.36
14,23,9,943,23:09.9,42.03
16,27,33,270,27:33.3,41.97
10,38,49,436,38:49.4,46.08
13,11,49,355,11:49.4,40.25
12,36,12,411,36:12.4,39.2
12,40,17,353,40:17.4,38.29
10,6,29,654,06:29.7,46.14
11,19,30,35,19:30.0,45.89
9,22,56,109,22:56.1,45.55
16,13,16,784,13:16.8,43.18
14,33,25,254,33:25.3,42.6
11,11,51,775,11:51.8,46.01
11,37,39,983,37:40.0,42.82
12,55,4,716,55:04.7,40.51
15,41,7,74,41:07.1,43.7
13,8,15,614,08:15.6,40.22
14,48,21,822,48:21.8,44.72
11,37,17,554,37:17.6,43.04
14,41,55,136,41:55.1,43.34
10,20,37,728,20:37.7,46.61
14,0,7,746,00:07.7,39.38
12,28,3,405,28:03.4,39.43
14,36,12,60,36:12.1,42.98
12,4,56,400,04:56.4,40.18
16,48,8,888,48:08.9,42.76
10,44,15,428,44:15.4,44.3
11,30,24,26,30:24.0,42.97
15,16,9,116,16:09.1,42.77
9,13,8,105,13:08.1,45.85
16,31,58,833,31:58.8,42.56
9,20,53,494,20:53.5,45.7
11,29,48,801,29:48.8,43.46
10,4,5,559,04:05.6,45.9
12,7,16,326,07:16.3,40.55
16,40,55,95,40:55.1,45.82
9,22,30,441,22:30.4,45.54
13,53,2,95,53:02.1,41.81
10,37,1,398,37:01.4,46.37
12,42,22,478,42:22.5,39.31
13,0,15,65,00:15.1,41
13,55,39,202,55:39.2,40.84
14,23,11,722,23:11.7,42.06
16,18,36,585,18:36.6,42.66
11,58,15,685,58:15.7,41.84
16,55,6,77,55:06.1,44.71
12,50,52,173,50:52.2,40.27
13,59,16,467,59:16.5,39.15
13,59,42,80,59:42.1,39.47
15,57,30,75,57:30.1,42.49
11,56,12,807,56:12.8,42.93
11,58,16,710,58:16.7,41.78
15,42,29,395,42:29.4,43.74
14,10,28,642,10:28.6,39.35
13,23,37,157,23:37.2,42.2
14,9,41,692,09:41.7,39.04
13,13,25,286,13:25.3,40.77
15,4,20,564,04:20.6,42.49
11,17,17,936,17:17.9,45.22
13,9,29,420,09:29.4,40.37
11,49,33,834,49:33.8,42.71
12,26,8,64,26:08.1,39.77
16,54,11,918,54:11.9,44.53
14,0,56,91,00:56.1,39.39
16,43,4,773,43:04.8,44.3
15,49,48,812,49:48.8,42.57
15,33,36,292,33:36.3,42.95
9,40,0,645,40:00.6,44.48
15,30,19,935,30:19.9,43.66
14,41,6,330,41:06.3,42.85
11,4,49,468,04:49.5,46.33
13,0,24,435,00:24.4,41.16
15,49,10,839,49:10.8,42.78
14,31,24,744,31:24.7,42.92
9,17,34,5,17:34.0,45.5
11,2,10,191,02:10.2,45.66
15,47,5,787,47:05.8,42.55
12,33,10,670,33:10.7,40.29
16,6,37,49,06:37.0,43.17
11,11,19,322,11:19.3,45.56
16,32,37,986,32:38.0,42.68
12,49,17,1,49:17.0,39.77
11,46,5,603,46:05.6,43.08
13,9,52,634,09:52.6,40.27
9,0,40,999,00:41.0,46.33
13,25,46,601,25:46.6,42.04
16,54,40,521,54:40.5,44.34
10,18,31,407,18:31.4,47.39
11,55,40,128,55:40.1,42.48
13,36,22,955,36:23.0,43.55
16,4,46,843,04:46.8,42.48
11,3,10,465,03:10.5,45.54
11,36,42,136,36:42.1,42.97
11,49,43,804,49:43.8,42.83
14,21,19,176,21:19.2,41.72
9,21,12,41,21:12.0,46.14
16,43,46,53,43:46.1,44.58
9,55,55,384,55:55.4,44.9
15,59,21,53,59:21.1,42.9
9,4,40,57,04:40.1,46.47
13,32,31,435,32:31.4,42.47
12,48,8,250,48:08.3,39.34
15,18,49,956,18:50.0,43.61
16,9,38,718,09:38.7,43.84
16,32,57,462,32:57.5,43.03
11,54,13,584,54:13.6,41.67
15,50,24,881,50:24.9,42
13,52,35,407,52:35.4,42.16
16,42,39,698,42:39.7,44.19
16,56,18,812,56:18.8,44.48
12,8,32,791,08:32.8,40.87
9,38,12,327,38:12.3,44
10,36,44,3,36:44.0,46.67
11,53,45,829,53:45.8,41.58
11,4,31,311,04:31.3,46.17
12,24,12,346,24:12.3,39.24
16,51,56,257,51:56.3,43.17
10,0,44,222,00:44.2,45.35
14,2,53,20,02:53.0,38.41
13,43,38,736,43:38.7,42.79
15,31,37,466,31:37.5,43.46
16,35,28,899,35:28.9,43.33
9,37,2,368,37:02.4,44.26
11,30,5,904,30:05.9,43.13
13,9,53,677,09:53.7,40.26
9,8,26,433,08:26.4,45.54
9,19,29,74,19:29.1,45.31
9,39,59,548,39:59.5,44.32
10,32,13,476,32:13.5,47.3
10,17,6,458,17:06.5,47.45
11,17,47,856,17:47.9,45.47
14,6,43,706,06:43.7,38.65
12,7,35,986,07:36.0,40.84
9,57,21,418,57:21.4,45.53
13,1,3,52,01:03.1,40.67
12,41,49,174,41:49.2,39.39
15,5,55,650,05:55.7,42.38
10,15,8,307,15:08.3,46.83
15,32,0,568,32:00.6,43.52
15,31,34,309,31:34.3,43.45
11,1,22,778,01:22.8,46.74
12,11,43,294,11:43.3,40.65
10,43,53,868,43:53.9,43.93
13,13,35,636,13:35.6,40.65
13,31,54,483,31:54.5,42.67
10,54,12,209,54:12.2,45.38
16,21,44,362,21:44.4,42.77
16,44,22,456,44:22.5,44.84
15,11,10,168,11:10.2,42.43
10,30,20,69,30:20.1,48.74
9,10,11,615,10:11.6,46.23
14,24,55,791,24:55.8,42.37
11,22,43,506,22:43.5,44.8
11,31,54,94,31:54.1,43.05
14,26,32,427,26:32.4,42.11
9,16,41,120,16:41.1,45.78
12,52,26,18,52:26.0,40.49
15,24,28,68,24:28.1,44.82
16,54,37,231,54:37.2,44.27
14,13,57,850,13:57.8,40.39
11,24,49,573,24:49.6,44.31
14,42,22,792,42:22.8,43.33
15,11,9,621,11:09.6,42.44
13,12,27,122,12:27.1,40.31
14,4,59,956,05:00.0,38.93
10,3,44,988,03:45.0,45.98
15,0,46,540,00:46.5,43.07
14,17,35,496,17:35.5,40.12
9,21,42,492,21:42.5,46.25
11,13,45,225,13:45.2,46.04
14,40,6,522,40:06.5,43.73
13,25,40,336,25:40.3,42.18
16,10,32,922,10:32.9,43.89
9,33,24,360,33:24.4,45.91
9,59,6,119,59:06.1,45.06
9,27,27,615,27:27.6,45.13
16,14,20,786,14:20.8,42.61
9,34,55,692,34:55.7,45.09
11,42,20,144,42:20.1,42.54
10,54,9,564,54:09.6,45.24
9,25,46,76,25:46.1,44.99
15,23,58,346,23:58.3,44.69
11,50,21,433,50:21.4,42.35
14,48,26,640,48:26.6,44.66
9,22,33,323,22:33.3,45.63
11,49,25,502,49:25.5,42.68
12,46,0,462,46:00.5,39.8
14,40,39,781,40:39.8,43.18
13,51,30,12,51:30.0,42.3
9,24,22,58,24:22.1,45.4
9,29,18,937,29:18.9,46.15
12,42,52,525,42:52.5,39.02
16,13,28,775,13:28.8,42.82
13,10,5,32,10:05.0,40.27
11,15,16,403,15:16.4,45.51
11,1,8,720,01:08.7,46.79
10,20,54,184,20:54.2,46.38
15,5,44,697,05:44.7,42.31
16,55,5,706,55:05.7,44.73
13,42,29,418,42:29.4,42.65
9,30,42,848,30:42.8,46.74
16,42,41,977,42:42.0,44.33
14,47,35,432,47:35.4,44.66
13,12,1,371,12:01.4,40.16
10,26,45,150,26:45.1,47.65
15,8,45,61,08:45.1,42.28
9,55,25,57,55:25.1,44.99
9,33,39,673,33:39.7,46.1
12,33,38,890,33:38.9,40.03
9,59,2,477,59:02.5,45.13
15,13,54,676,13:54.7,43.09
9,10,30,843,10:30.8,46.25
15,18,51,719,18:51.7,43.66
10,10,7,703,10:07.7,47.43
15,10,39,724,10:39.7,42.21
15,6,25,674,06:25.7,42.31
10,5,49,175,05:49.2,46.18
11,13,18,148,13:18.1,46.05
9,51,59,275,51:59.3,45.52
11,13,55,663,13:55.7,45.89
11,20,57,720,20:57.7,45.31
12,52,30,954,52:31.0,40.75
11,44,14,589,44:14.6,42.48
10,19,14,629,19:14.6,47.33
13,23,15,116,23:15.1,42.27
15,58,11,439,58:11.4,42.21
15,36,2,177,36:02.2,44.34
10,21,28,519,21:28.5,46.62
11,33,11,92,33:11.1,43.45
16,42,39,135,42:39.1,44.18
15,1,59,87,01:59.1,42.79
9,50,0,843,50:00.8,46.14
11,21,51,436,21:51.4,45.05
10,6,27,502,06:27.5,46.21
12,21,3,27,21:03.0,39.18
16,7,8,707,07:08.7,43.13
15,46,27,151,46:27.2,43.15
14,57,46,410,57:46.4,43.88
10,41,20,237,41:20.2,45.09
16,16,42,250,16:42.3,43.39
10,12,54,157,12:54.2,46.82
15,35,5,541,35:05.5,43.8
16,47,5,144,47:05.1,43.31
11,28,3,512,28:03.5,43.39
9,18,42,582,18:42.6,44.86
12,1,14,790,01:14.8,40.67
13,48,4,720,48:04.7,42.03
10,3,56,961,03:57.0,45.89
10,23,34,565,23:34.6,47.26
12,7,41,421,07:41.4,40.9
13,43,41,551,43:41.6,42.89
10,32,9,897,32:09.9,47.43
11,14,17,441,14:17.4,45.67
11,6,48,945,06:48.9,46.51
14,47,29,399,47:29.4,44.63
12,43,53,751,43:53.8,39.18
9,5,41,688,05:41.7,46.43
15,17,0,867,17:00.9,43.26
15,28,25,160,28:25.2,43.24
14,34,22,771,34:22.8,42.6
15,46,58,342,46:58.3,42.71
9,46,56,687,46:56.7,45.61
14,9,1,710,09:01.7,39.25
16,17,34,82,17:34.1,43.08
10,1,42,648,01:42.6,45.73
13,13,46,851,13:46.9,40.51
15,8,17,602,08:17.6,42.1
13,19,15,115,19:15.1,41.88
10,33,3,597,33:03.6,46.99
9,44,23,656,44:23.7,44.67
